Species	Accesion	Order	Family	Genus	animal	BiogeographicRange	ResearchEffort	DietBreadth	HabitatBreadth	GenerationLength	GenerationLengthFULL	MaxLongevity	Insularity	Urban	UrbanFULL	TOTALINNOVATIONS2021	TOTINNOonly2021	TotalInnovations2020	TotalFoodTypeInnovations2020	TotalTechnicalInnovations2020	TotInno2021_no0	FoodInno2020_no0	TechInno2020_no0	InnovationYesOrNo	FoodTypeInnovationYesOrNo	TechnicalInnovationYesOrNo	IUCNStatus2019	StatusCode	PopulationTrend2019	TrendCode	HabitatDestruction	Overexploitation	InvasiveSpecies	CriterionB	TotInno_ResEff2021	TotInno_ResEff2021_no0	FoodInno_ResEff2020	FoodInno2020_Eff_no0	TechInno_ResEff2020	TechInno2020_Eff_no0	Brain_size	Relative_brain_size	Beak_length.Culmen	Beak_length.Nares	Beak_width	Beak_depth	Tarsus_length	Wing_length	Kipps_distance	Secondary1	Hand-Wing_index	Tail_length	Mass	Habitat	Habitat_density	Migration	Trophic_level	Trophic_niche	Primary_lifestyle	Range_size
Acanthisitta_chloris	GCA_016904835.1	PASSERIFORMES	ACANTHISITTIDAE	Acanthisitta	Acanthisitta_chloris	Australasia	16	2	2.991903891	3.5	1.890638142	6.563452551	1.0	1.0	1	1	1.0	1	1.0	0.0	1.0	1.0		1	1	0	Least-Concern	1.0	decreasing	1.0	0.0	0.0	0.0	NO	0.262686156	-0.552576965	0.447	-0.316709542	-0.196		0.349	-0.19	12.1	6.3	2.4	2.2	18.0	46.0	6.2	38.1	13.9	23.5	6.91	Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	152503.84
Aquila_chrysaetos	GCF_900496995.4	ACCIPITRIFORMES	ACCIPITRIDAE	Aquila	Aquila_chrysaetos	several	1145	2	5.726648352	17.3	16.25526957	40.55924429	0.0	0.0	0	19	19.0	19	13.0	6.0	19.0	13.0	6.0	1	1	1	Least-Concern	1.0	stable	2.0	1.0	1.0	1.0	NO	1.898322604	1.769548421	1.946	1.526221143	1.373	0.778762711	17.393	0.115	56.8	37.0	18.5	28.4	101.4	603.1	221.2	381.9	36.7	307.1	4247.97	Grassland	3.0	2.0	Carnivore	Vertivore	Aerial	39450257.98
Bucorvus_abyssinicus	GCA_009769605.1	BUCEROTIFORMES	BUCEROTIDAE	Bucorvus	Bucorvus_abyssinicus	Africa	14	4	3.058057515	29.8	19.29235407	70.0	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Vulnerable	3.0	decreasing	1.0	1.0	1.0	0.0	NO	-0.410636525		-0.233		-0.185		23.75	0.46	256.5	189.8	31.4	56.3	145.6	556.0	114.1	441.9	20.6	337.8	4000.0	Grassland	3.0	1.0	Carnivore	Omnivore	Terrestrial	4482170.58
Cariama_cristata	GCA_009819825.1	CARIAMIFORMES	CARIAMIDAE	Cariama	Cariama_cristata	South-America	21	4	1.632946379	6.7	7.575596883	19.36806488	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	-0.471298389		-0.273		-0.219		11.284	0.305	65.9	37.6	14.9	18.3	205.8	357.1	38.2	320.3	10.7	296.4	1400.0	Shrubland	2.0	1.0	Carnivore	Invertivore	Terrestrial	5932013.38
Catharus_ustulatus	GCF_009819885.2	PASSERIFORMES	TURDIDAE	Catharus	Catharus_ustulatus	several	137	2	3.657187778	4.3	2.471010853	11.0	0.0	1.0	1	3	3.0	3	2.0	1.0	3.0	2.0	1.0	1	1	1	Least-Concern	1.0	unknown		0.0	0.0	0.0	NO	0.624159811	0.236558807	0.63	0.017377791	0.31	-0.634136866	0.821	-0.164	16.6	9.5	4.4	4.1	29.6	96.8	29.7	67.2	30.6	67.1	30.3	Forest	1.0	3.0	Omnivore	Invertivore	Insessorial	489246.29
Chiroxiphia_lanceolata	GCF_009829145.1	PASSERIFORMES	PIPRIDAE	Chiroxiphia	Chiroxiphia_lanceolata	several	11	2	2.615622583	4.4	2.843241951	9.5959867	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	-0.37529298		-0.209		-0.165				12.2	6.6	4.1	4.2	18.1	70.2	7.8	62.4	11.1	48.7	18.5	Woodland	1.0	1.0	Herbivore	Frugivore	Insessorial	420162.32
Corvus_moneduloides	GCF_009650955.1	"	Passeriformes"	Corvidae	Corvus	Corvus_moneduloides	Australasia	34	5	3.247295067		5.705631996	15.19800041			0	7	7.0	7	0.0	7.0	7.0		7.0	1	0	1									1.534602125	1.286609482	-0.323		1.819	1.55731614	7.227	0.768	43.5	28.4	11.9	17.1	47.1	238.1	54.7	183.4	23.0	164.6	277.38	Woodland	2.0	1.0	Omnivore	Omnivore	Generalist	16389.59
Diglossa_brunneiventris	GCA_019023105.1	PASSERIFORMES	THRAUPIDAE	Diglossa	Diglossa_brunneiventris	South-America	2	2	2.277291571	3.7	2.422728589	7.863532656	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	-0.155718825		-0.062		-0.041				13.4	7.9	2.4	4.0	21.4	64.9	11.9	53.1	18.3	57.6	12.0	Shrubland	2.0	1.0	Omnivore	Nectarivore	Insessorial	317862.93
Erithacus_rubecula	GCA_903797595.2	PASSERIFORMES	MUSCICAPIDAE	Erithacus	Erithacus_rubecula	several	622	4	6.429223744	6.0	3.601223214	19.3	0.0	1.0	1	10	10.0	8	6.0	2.0	10.0	6.0	2.0	1	1	1	Least-Concern	1.0	increasing	3.0	0.0	0.0	0.0	NO	1.397021707	1.21777003	1.317	0.857538356	0.581	-0.210764066	0.644	-0.105	14.0	7.0	2.9	3.3	24.5	71.6	14.2	57.3	19.9	56.9	17.7	Forest	1.0	3.0	Carnivore	Omnivore	Generalist	10001378.73
Falco_naumanni	GCF_017639655.2	FALCONIFORMES	FALCONIDAE	Falco	Falco_naumanni	several	347	1	4.76545268	5.7	2.996853971	10.92	0.0	1.0	1	1	1.0	1	0.0	1.0	1.0		1.0	1	0	1	Least-Concern	1.0	stable	2.0	1.0	1.0	0.0	NO	-0.215489336	-0.998750911	-0.567		0.227	-0.799683655	2.745	0.138	19.8	13.0	9.5	11.0	29.9	229.3	123.4	105.7	53.9	132.4	152.06	Grassland	3.0	3.0	Carnivore	Invertivore	Generalist	9560575.62
Falco_rusticolus	GCF_015220075.1	FALCONIFORMES	FALCONIDAE	Falco	Falco_rusticolus	several	274	1	4.791679798	6.4	6.127488041	21.8523941	0.0	0.0	0	2	2.0	1	1.0	0.0	2.0	1.0		1	1	0	Least-Concern	1.0	stable	2.0	1.0	1.0	0.0	NO	0.227265577	-0.270809519	0.151	-0.793999212	-0.445		8.95	0.061	36.0	22.0	16.3	19.2	56.7	368.0	174.2	193.2	47.5	201.8	1431.72	Grassland	3.0	3.0	Carnivore	Vertivore	Aerial	8809463.94
Geothlypis_trichas	GCA_009764595.1	PASSERIFORMES	PARULIDAE	Geothlypis	Geothlypis_trichas	several	106	1	3.447937934	4.6	2.538277341	11.5	0.0	0.0	0	3	3.0	2	1.0	1.0	3.0	1.0	1.0	1	1	1	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	0.664457978	0.274160048	0.252	-0.632143799	0.332	-0.588600057	0.527	0.041	12.7	7.9	3.0	3.3	20.2	54.7	8.5	44.3	16.1	49.4	9.54	Wetland	1.0	3.0	Carnivore	Invertivore	Insessorial	12826786.25
Gymnogyps_californianus	GCA_018139145.1	CATHARTIFORMES	CATHARTIDAE	Gymnogyps	Gymnogyps_californianus	North-America	230	1	2.543604651	20.3	19.02782152	45.0	0.0	0.0	0	1	1.0	0	0.0	0.0	1.0			1	0	0	Critically-Endangered	5.0	increasing	3.0	1.0	1.0	1.0	NO	-0.150583825	-0.938189154	-0.523		-0.429		27.577	0.19	96.5	65.3	33.2	39.0	115.8	788.0	323.5	464.5	41.1	350.8	8442.74	Shrubland	3.0	1.0	Scavenger	Scavenger	Terrestrial	101747.84
Hirundo_rustica	GCF_015227805.1	PASSERIFORMES	HIRUNDINIDAE	Hirundo	Hirundo_rustica	several	1345	2	5.811854513	3.9	3.132150175	16.0	0.0	1.0	1	20	20.0	21	9.0	12.0	20.0	9.0	12.0	1	1	1	Least-Concern	1.0	decreasing	1.0	0.0	0.0	0.0	NO	1.921634331	1.797068404	1.592	1.130914168	1.978	1.443119333	0.553	-0.264	12.4	6.0	4.5	2.7	11.7	115.8	62.3	56.0	52.6	71.4	17.91	Human Modified	3.0	3.0	Carnivore	Invertivore	Aerial	51701054.06
Merops_nubicus	GCA_009819595.1	CORACIIFORMES	MEROPIDAE	Merops	Merops_nubicus	Africa	0	1	6.350088968	6.2	3.379626136	7.429630415	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	decreasing	1.0	0.0	0.0	0.0	NO	0.018289576		0.055		0.057		0.869	-0.296	38.8	28.2	6.7	8.3	13.7	145.2	57.5	86.0	40.1	163.5	42.4	Grassland	2.0	2.0	Carnivore	Invertivore	Insessorial	6717055.8
Molothrus_ater	GCF_012460135.1	PASSERIFORMES	ICTERIDAE	Molothrus	Molothrus_ater	several	951	2	3.87067938	4.6	3.285866402	16.9	0.0	0.0	0	1	1.0	1	0.0	1.0	1.0		1.0	1	0	1	Least-Concern	1.0	decreasing	1.0	0.0	0.0	0.0	NO	-0.374886369	-1.147480414	-0.674		0.137	-0.97980183	1.157	0.02	17.6	11.1	5.8	8.9	24.7	105.0	33.9	68.8	33.0	69.8	40.26	Forest	2.0	3.0	Carnivore	Invertivore	Terrestrial	11727469.53
Motacilla_alba	GCF_015832195.1	PASSERIFORMES	MOTACILLIDAE	Motacilla	Motacilla_alba	several	445	1	6.133211009	4.2	2.805220482	13.7	0.0	0.0	0	11	11.0	9	4.0	5.0	11.0	4.0	5.0	1	1	1	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	1.536971146	1.36247543	1.016	0.509382411	1.304	0.765346518	0.608	-0.332	16.1	9.7	3.4	3.5	23.4	87.0	27.4	59.7	31.4	86.8	23.93	Human Modified	3.0	3.0	Carnivore	Invertivore	Terrestrial	39488711.64
Myiopsitta_monachus	GCA_017639245.1	PSITTACIFORMES	PSITTACIDAE	Myiopsitta	Myiopsitta_monachus	South-America	134	3	3.880293321	6.0	5.477657609	19.95	0.0	1.0	1	3	3.0	1	1.0	0.0	3.0	1.0		1	1	0	Least-Concern	1.0	increasing	3.0	0.0	0.0	0.0	NO	0.627641034	0.239807051	0.227	-0.672000722	-0.382		4.1	0.672	22.2	19.7	12.9	20.2	16.6	145.2	64.8	80.0	44.7	125.6	120.0	Human Modified	2.0	1.0	Herbivore	Omnivore	Insessorial	2722615.89
Pogoniulus_pusillus	GCA_015220805.1	PICIFORMES	LYBIIDAE	Pogoniulus	Pogoniulus_pusillus	Africa	3	2	3.675066313	8.5	2.132115146	7.748844507	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	-0.201284579		-0.092		-0.067				13.6	8.4	5.0	5.2	14.6	57.7	7.4	50.0	12.8	33.8	9.6	Shrubland	2.0	1.0	Omnivore	Frugivore	Insessorial	2446279.62
Strigops_habroptila	GCF_004027225.2	PSITTACIFORMES	STRIGOPIDAE	Strigops	Strigops_habroptila	Australasia	1	2	2.706463991	27.0	25.82233791	60.0	1.0	0.0	0	0		0	0.0	0.0				0	0	0	Critically-Endangered	5.0	increasing	3.0	1.0	0.0	1.0	NO	-0.091497502		-0.018		-0.005		15.417	0.498	48.7	36.3	22.4	37.5	54.5	275.1	54.6	219.2	19.9	225.1	1732.05	Forest	2.0	1.0	Herbivore	Omnivore	Generalist	57.25
Sylvia_atricapilla	GCA_009819655.1	PASSERIFORMES	SYLVIIDAE	Sylvia	Sylvia_atricapilla	several	646	3	5.483527415	4.0	2.509753403	11.58	0.0	1.0	1	9	9.0	8	8.0	0.0	9.0	8.0		1	1	0	Least-Concern	1.0	increasing	3.0	0.0	0.0	0.0	NO	1.295724449	1.106823116	1.565	1.138738996	-0.521		0.647	-0.068	15.2	7.2	3.2	3.4	20.8	75.9	20.5	55.4	27.0	62.2	16.7	Woodland	1.0	3.0	Omnivore	Omnivore	Insessorial	8628077.66
Sylvia_borin	GCA_014839755.1	PASSERIFORMES	SYLVIIDAE	Sylvia	Sylvia_borin	several	290	3	5.799409061	4.0	3.591084482	19.0835	0.0	0.0	0	1	1.0	1	1.0	0.0	1.0	1.0		1	1	0	Least-Concern	1.0	decreasing	1.0	0.0	0.0	0.0	NO	-0.187156788	-0.972314498	0.145	-0.803696071	-0.45		0.629	-0.144	15.1	7.2	3.5	3.6	20.1	78.7	23.6	55.2	30.0	57.9	18.2	Woodland	1.0	3.0	Omnivore	Omnivore	Insessorial	9648408.47
Taeniopygia_guttata	GCF_003957565.2	PASSERIFORMES	ESTRILDIDAE	Estrilda	Taeniopygia_guttata	Australasia	880	1	5.0		1.570515365	7.075703508			1	1	1.0	1	1.0	0.0	1.0	1.0		1	1	0									-0.362610027	-1.136025657	0.028	-0.993636504	-0.549		0.447	-0.254	10.0	7.1	5.3	6.3	13.3	50.5	11.2	39.2	22.2	34.2	12.04	Grassland	2.0	2.0	Herbivore	Granivore	Terrestrial	83399.73
Trogon_surrucura	GCA_020746105.1	TROGONIFORMES	TROGONIDAE	Trogon	Trogon_surrucura	South-America	5	2	1.469689958	7.3	3.705664692	10.5792622	0.0	0.0	0	1	1.0	1	1.0	0.0	1.0	1.0		1	1	0	Least-Concern	1.0	decreasing	1.0	0.0	0.0	0.0	NO	0.427641278	-0.398661344	0.558	-0.138134057	-0.103				19.4	11.8	9.5	10.0	15.5	137.5	53.8	83.7	39.2	139.5	73.29	Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	1366931.0
Corvus_corone	GCF_000738735.5	PASSERIFORMES	CORVIDAE	Corvus	Corvus_corone	several	1044	4	8.486071399	6.8	5.722759998	19.23327956	0.0	1.0	1	42	42.0	48	20.0	28.0	42.0	20.0	28.0	1	1	1	Least-Concern	1.0	increasing	3.0	0.0	0.0	0.0	NO	2.678403557	2.576414198	2.361	1.972823775	2.803	2.335720523	8.587	0.537	55.0	35.9	15.1	18.5	59.4	323.9	119.6	204.6	36.9	179.6	570.0	Human Modified	3.0	1.0	Carnivore	Omnivore	Terrestrial	33343165.09
Corvus_monedula	GCA_013407035.1	PASSERIFORMES	CORVIDAE	Corvus	Corvus_monedula	several	500	3	5.233912522	7.4	5.566681027	19.92	0.0	1.0	1	11	11.0	9	5.0	4.0	11.0	5.0	4.0	1	1	1	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	1.518552509	1.345289447	1.186	0.712586496	1.111	0.521389961	5.199	0.506	35.2	21.4	11.2	13.3	43.3	231.1	90.5	141.3	39.1	122.4	246.0	Human Modified	3.0	2.0	Omnivore	Omnivore	Terrestrial	13975046.48

