Cancer1,Cancer2,Cancer3,Cancer4,Cancer5,Normal1,Normal2,Normal3,Normal4,Normal5
3965,1633,3820,2818,1995,1056,1432,858,576,615
1808,2024,2791,1870,2024,1461,2768,1251,1194,922
1645,1230,2637,1262,1674,4788,6638,4124,3226,2645
2815,1033,7194,1713,2830,4854,5916,3272,3091,2516
1093,755,1709,1103,1889,2373,4287,2950,2338,1671
1173,811,1275,1161,905,674,1184,595,352,574
286,1988,1416,240,1470,355,297,148,166,99
2258,2403,5883,1316,2869,3292,4558,1418,1559,1546
48,11,91,12,15,130,8702,177,563,122
57373,197860,121706,21889,58900,39106,53584,21919,21133,21157
231,167,471,185,385,352,591,252,309,167
7854,2131,3591,5032,2692,3796,6360,2494,2738,1983
240,202,1241,427,373,505,1072,455,463,265
2465,2872,8115,3337,4075,4305,7254,2864,2689,1863
8,1,2,3,9,158,211,123,115,12
2680,4933,5714,2242,3232,2827,3537,2569,2631,1208
1057,3226,2454,1267,1419,1003,1488,519,413,474
10646,3013,7109,3562,9115,11838,15388,12364,7448,3430
123,157,223,296,129,25,23,12,16,11
356,633,1401,309,656,3928,7274,2592,2819,1795
1225,1361,1950,1398,1228,1736,2170,1215,940,916
3568,1979,3365,1966,2451,1966,4031,1411,1165,920
24,15,271,89,103,91,150,57,41,42
16302,4951,20293,5690,18161,36729,27455,18018,10146,7161
1454,1464,2963,920,2629,3454,5280,3151,2492,1866
1995,937,2607,3440,2236,1735,2894,1566,1294,808
1776,1884,2981,2479,2397,2576,4119,1962,1944,1257
102,41,153,20,32,167,524,41,98,50
0,0,2,1,4,52,52,16,85,6
21,20,163,21,60,59,98,31,21,12
1046,1039,1786,1559,1448,1448,2607,1287,1049,791
3,0,7,4,11,8,12,3,4,3
151,82,462,69,154,158,2229,118,277,95
5,0,1539,5,15,112,92,82,5,2
377,728,1368,616,691,869,1730,509,495,309
557,828,3264,396,565,509,687,272,362,231
1184,837,1483,409,892,3197,5170,1937,1390,615
2687,4681,2818,1876,3743,1977,3461,1385,1605,972
991,1217,2584,1129,1813,1884,2783,1360,1121,869
814,425,980,766,948,1053,1192,974,557,353
98,569,501,377,217,302,672,174,231,155
564,865,3307,442,1291,351,365,152,177,207
36,241,49,10,40,65,8,22,2,1
1451,1448,3655,638,757,898,1163,604,638,579
1392,1176,2822,1435,2672,1431,3170,1543,1649,1068
1475,1285,2289,1385,2620,2952,6082,3231,2288,1754
3149,1331,6812,2669,5007,4614,7598,3759,2867,2199
174,35,205,39,297,392,920,587,213,163
785,2161,1778,1144,2044,1741,2922,992,957,758
6704,7461,3565,2975,5574,4837,5954,4290,3069,2011
25856,6124,13711,6619,15316,5400,1738,2176,1124,975
1283,1741,4602,1060,2647,2972,3523,1852,1569,1403
5726,591,12593,2451,3778,11156,10766,9010,7092,6126
17380,13729,32430,13835,21769,10619,17001,6501,7071,5686
1779,1301,2837,1947,2681,2348,3885,1989,1714,1120
790,1384,684,431,1659,322,14090,863,1178,199
1065,1184,1904,1277,1164,1415,2941,1525,1209,884
1458,1522,3211,2196,1404,5240,8078,2289,2374,1434
43,258,20,5,56,198,6189,236,387,112
11140,3728,7456,4414,8854,4908,5276,4092,3824,2235
6,1,22,105,124,13,24,4,5,7
829,1992,2985,1005,872,1070,2412,530,658,519
0,0,2,0,1,3,1,0,0,1
220,782,347,234,452,744,1184,389,474,213
225,296,545,468,397,277,391,204,154,121
1851,1738,2163,1439,1919,1391,2332,1360,1131,715
675,844,2058,961,890,829,1005,393,372,347
730,1559,1626,842,1018,1222,1474,609,608,429
219,636,525,195,260,411,376,74,75,148
1411,2074,3018,1425,1424,1832,2015,773,544,554
4,0,0,1,14,91,16,37,93,31
1011,1833,2084,2129,2118,2003,2913,1337,1150,1152
2344,687,2128,220,1337,1480,1337,787,723,1150
3658,4654,7227,4204,4958,3603,6651,2617,2738,2252
20,615,65,135,47,111,35,90,28,58
1051,1498,2119,5093,2296,1409,2453,1127,1087,572
1170,841,1362,1082,1130,1477,2276,826,819,711
43902,391,10966,1283,31505,3991,4032,3972,3803,2389
390,592,2235,434,568,619,860,282,226,161
70,64,185,131,82,91,351,68,174,69
403,531,682,1163,618,464,1159,308,256,226
1055,1707,1594,1681,1163,1015,1313,497,644,493
0,0,0,1,0,0,1,2,0,0
264,421,555,468,300,414,1066,352,347,192
142,140,482,117,210,192,420,105,136,102
3493,3243,3750,1587,2702,4951,5308,3108,2541,1579
11073,6575,26147,6124,11092,14204,12992,6213,4435,10284
3217,2884,8374,2066,3538,2824,3003,1269,1218,1371
5,5,22,5,2,3,51,9,8,1
0,0,2,0,0,3,14,2,0,1
18,9,67,34,40,20,98,28,22,17
1753,3885,1480,751,1115,241,2281,179,151,181
1146,1030,458,151,55,6,201,2,22,8
1311,973,1899,2525,2024,1186,2329,1345,1058,699
2043,1913,2320,3189,2502,3749,5730,3028,2147,1538
0,0,27,1,4,4,1,1,1,0
2902,514,3036,1458,2770,2835,3326,1738,1150,1915
602,632,2416,1083,667,348,1637,328,421,252
76,1267,262,232,74,692,3393,882,1300,244
0,0,1,0,0,15,4,7,2,1
1547,4583,2565,2061,2498,1836,2902,1032,963,698
22010,14934,30824,10853,19638,25993,39274,19800,18201,10230
449,975,1508,411,883,879,1601,655,553,405
238,48,457,230,296,414,685,489,361,302
683,29,653,92,207,586,146,485,132,112
31202,59879,62751,33352,40856,27608,34149,14990,15885,12438
15308,8686,3961,9029,8587,3561,4959,3281,1603,1471
414,1082,1283,415,991,900,1521,498,399,289
571,2605,2678,1191,2287,1270,3706,1147,1282,785
128,221,1175,66,362,1308,3580,1793,1013,430
0,1,0,8,0,0,0,2,0,0
389,110,1219,114,592,1644,3121,1685,1425,514
753,972,1020,335,909,1585,2567,1036,832,756
806,822,1877,924,1077,1179,2574,1059,1163,742
857,2306,2039,515,2318,967,2131,825,770,540
2381,2116,3939,2036,2206,2907,4292,2031,1922,1525
3432,3261,4901,3892,3964,3437,5399,2762,2172,1463
1808,1304,1667,1498,1922,1673,4272,1993,1664,939
870,615,1143,496,1155,2457,6367,2225,2367,1603
4432,7032,5353,4155,6183,5669,10180,4689,3876,2585
12387,14219,18233,34805,42536,732,7336,496,761,496
885,952,1361,747,1425,1242,5537,821,840,511
570,1306,1976,607,774,995,1536,558,480,513
11,662,319,386,842,131,490,229,191,90
30,21,53,62,67,152,410,313,136,29
808,552,1087,514,731,802,1338,521,557,443
196,354,682,437,267,336,1160,426,474,311
2030,8696,5087,3688,4030,6732,11513,5770,6142,2883
300,299,301,120,285,909,2158,1252,803,311
1,51,41,6,18,26,56,13,22,8
11943,7846,11818,5849,12730,22884,32993,15670,11248,6852
1155,822,1497,1181,1646,1592,3092,1200,1133,758
1644,49,7288,200,4758,5631,4758,9181,12204,3385
917,1145,2078,1201,805,931,1985,665,756,525
551,27,750,364,355,652,354,619,509,235
2610,2210,6150,1853,2208,2351,3152,940,1006,916
548,354,1372,373,389,231,339,119,138,141
469,308,721,432,845,1208,5946,939,961,582
3513,1812,6572,2284,2060,3324,5355,2990,2210,1902
1103,680,1000,923,1089,883,2008,965,907,648
135,8,268,264,294,29,57,18,1,46
1346,955,2724,821,2073,2478,3950,1974,1398,1332
4900,1218,7880,89,6745,4913,9130,5102,5055,2954
2375,2207,4102,1806,2093,1274,2505,1122,880,601
0,0,2,1,0,0,0,0,0,0
2250,1447,2846,2064,3436,2632,5165,2799,2224,1499
1603,2001,3495,2436,4445,5462,9692,5691,4456,2401
3797,270,4993,922,4491,7872,10865,7510,6230,4453
8985,7822,11793,7911,13079,8712,14632,6217,5817,4870
1103,1090,1314,1410,1617,1061,1295,715,594,478
290,2837,1007,735,580,288,1097,85,196,286
2560,2094,13965,2678,2937,5493,7849,4163,2417,2161
287,320,535,380,469,427,837,365,323,171
64,76,71,55,81,40,175,48,90,21
3393,3919,6341,5019,8554,8950,13553,6558,5043,3403
5556,2486,11605,4547,7917,7511,12345,7238,5826,3159
744,217,2264,734,897,641,3247,1656,2324,773
7,146,34,4,8,5,7,0,3,6
349,164,790,252,302,144,61,28,33,148
274,1773,749,980,457,59,623,55,65,15
5925,937,7182,1854,4884,6925,5789,4579,2184,1352
2238,1585,5433,1530,2175,1243,2496,811,756,623
16221,1996,20682,1436,4674,14595,11974,7148,4153,2269
1267,587,2082,639,1191,946,1174,556,440,362
2044,3454,4414,2975,4166,4270,8675,4343,3266,2130
8258,15028,11193,4687,11306,8021,11789,4637,4954,2960
2983,7969,3566,2793,5503,8269,21617,8355,9871,5473
399,74,366,178,628,152,41,11,15,86
176,417,196,97,132,217,447,104,102,71
6060,4124,11775,6846,6425,8142,9520,5710,4123,6927
211,216,544,292,392,320,700,240,216,153
17,0,188,118,121,66,253,79,88,55
1689,1220,2300,3013,1620,1850,3288,1610,1321,901
7369,1270,8138,2171,4191,20034,11138,8299,4230,1617
782,625,807,710,908,769,1291,563,625,430
778,2653,2654,1385,1887,601,681,314,286,470
1622,2125,4743,1184,1922,1872,2961,1444,1328,710
4048,3460,7994,2216,3866,5085,7810,3509,3253,2147
1303,3076,2300,1387,1933,2342,3673,1653,1402,983
88,285,262,797,135,228,2887,269,288,180
777,412,296,110,731,4195,8254,2151,2176,658
57,178,88,15,183,323,136,204,209,25
72,9,91,71,86,106,135,79,104,39
2159,1533,4241,1229,2551,2502,4241,2164,1960,1147
70,41,201,29,43,94,256,70,81,17
2136,5078,7047,1443,3490,5613,7673,1428,1494,1233
986,2408,2523,1072,1375,1556,3835,1021,1284,971
6555,4057,17667,6815,12276,6666,11197,7022,6063,5002
513,627,763,120,348,406,356,101,84,109
213,146,190,158,178,89,81,25,22,32
52,163,112,118,92,23,39,17,10,21
1508,1543,2159,1496,2752,1859,3131,1828,1558,1216
8261,5923,12849,5402,6605,6326,7213,2461,1697,4268
174,402,1130,302,428,249,254,117,195,68
2088,2585,16252,1809,2158,1847,3867,1173,1267,794
316,646,733,558,393,375,746,312,310,214
1562,2873,2356,947,1644,1708,4204,1491,1115,675
13594,6488,15152,1679,10358,7360,8955,4374,4806,2771
1013,1131,2578,1236,1668,1333,2184,1066,998,630
2107,3471,2162,2340,3605,1138,2499,595,760,754
3572,1632,7063,1465,3780,3330,6819,6772,5087,2350
4481,1777,5923,1703,2271,2861,10119,5135,7675,2367
2305,3672,5329,3018,3160,3097,6798,2976,3167,1662
1,5,4,0,3,6,17,0,0,0
572,643,457,332,91,91,214,171,123,71
1993,1078,2755,4458,2716,4288,7897,5090,3353,2305
39,6,45,37,24,66,41,34,24,17
1652,1677,5352,1218,2577,1959,3069,1020,1086,730
1526,1340,5433,2036,2220,1153,1486,632,628,515
16,57,40,33,30,42,57,33,18,38
530,736,1779,551,644,694,1182,403,475,315
34,109,73,34,62,29,62,39,38,28
135,119,200,45,144,269,467,190,101,96
2736,7307,2549,145,1923,14382,16389,7777,7495,3191
1183,1102,1762,2920,1250,1751,2892,1524,1325,797
781,600,1675,626,1045,914,3359,736,872,599
606,2196,7067,147,1391,2637,3139,1683,1429,1063
2421,2020,7104,1963,3052,2421,3576,1530,1438,1136
5672,5073,7518,4860,7445,7788,14112,5858,5105,3534
2234,5127,5421,1658,1690,1755,2323,809,906,1059
75,614,113,326,35,41,111,17,20,18
366,557,711,947,698,413,1794,374,344,400
2257,2465,3231,2185,2350,2094,4738,2047,1911,1432
351,367,187,375,139,234,287,237,184,111
989,1096,2554,975,1100,1324,2349,1544,1424,865
5,45,38,986,101,12,25,2,1,2
336,874,837,764,442,469,1237,365,298,155
1595,1821,3027,2978,3593,3779,6581,3160,2545,1616
577,196,1315,94,788,405,1458,271,276,146
1529,1797,3406,962,1628,2448,3894,1417,1170,1083
1561,4808,2615,6185,5241,8935,22366,7504,7175,3618
30,530,235,378,48,149,691,171,253,178
3298,2906,4076,4594,4114,5298,10911,3658,3297,1428
0,0,0,0,1,0,0,0,0,0
176,20,55,15,60,88,25,82,27,11
125,39,586,280,213,418,48,76,48,41
2121,1653,2756,2331,2384,3783,4654,2568,2139,1412
381,240,806,277,260,375,426,112,103,264
1637,938,2825,4835,2059,3360,6865,3223,2340,1847
1241,1901,2830,2184,2190,1131,2224,783,1010,702
3195,3063,9114,3463,4438,5251,6275,2764,2408,2053
85,449,295,618,223,221,329,186,93,38
2780,2322,4409,2299,3148,3359,5720,2229,2314,1564
887,464,1828,662,1081,1080,1750,814,749,508
1259,1089,4177,1062,3459,2546,3668,2094,2250,1499
3283,3145,6544,3116,4558,5325,8585,4821,3721,2285
1697,1392,5116,1278,1742,2639,4231,2083,1706,1067
1889,2567,3713,1960,4726,3535,6918,3180,2950,1587
1674,3524,3708,1762,2656,2237,3702,1740,1621,1270
3223,2875,3827,2214,4480,3923,8696,4837,3735,2652
27,8,323,182,92,417,910,301,538,131
53,110,20,7,46,328,483,241,200,51
4354,6249,7400,5541,6457,6609,13403,6423,5311,3291
1718,2189,4426,1684,1496,1787,2827,962,1185,655
19,57,10,6,10,8,16,5,5,5
5,20,6,10,8,4,5,2,3,4
445,323,1503,326,721,743,1240,503,543,315
4792,3494,5010,3065,4204,3969,6333,3353,2505,1541
175,184,321,214,290,174,323,206,214,143
1,2,9,36,1,10,2,0,2,2
1,1,4,106,6,1,14,3,0,0
464,609,1289,447,814,915,1013,229,256,499
1891,1526,1787,1577,2247,2721,5168,2512,2346,1702
115,360,824,78,274,281,425,195,174,160
682,525,1156,631,1249,1599,2405,1469,1121,630
414,2019,854,104,1069,321,516,84,65,59
6194,1151,4188,1701,4324,2729,4941,2398,2699,1177
7,7,9,16,10,2,1359,19,39,1
6365,4640,10650,4002,5783,3588,7415,3367,2675,2396
482,478,155,264,354,95,481,345,291,122
0,4,3,4,4,3,14,3,3,0
1,308,19,33,7,3,31,2,8,5
15248,14091,17989,6860,16366,10552,13162,7997,6640,4897
1803,1570,1175,1414,3275,957,2062,2090,1297,1424
1203,1066,2160,1488,1602,1602,3065,1329,1151,787
602,254,877,511,882,916,1296,1506,1103,544
1285,1255,3894,1279,1917,2028,3312,1360,1335,926
1112,2132,2376,1803,2134,1685,2532,1130,994,606
805,1722,1549,764,1528,1544,2047,2017,1476,871
2247,2055,2648,4583,3754,2523,4584,2981,2275,1526
10853,5823,4581,4860,14758,12814,18123,5073,5600,3084
832,281,2691,537,1413,1778,3378,1876,1381,942
18308,20038,23049,13609,21019,15506,18375,8800,8489,6318
2014,2407,2839,2094,2293,2818,6842,2929,2407,1610
266,11,2662,125,505,2093,2662,2394,3536,866
10,22,403,46,32,11,40,9,9,5
439,1712,2234,543,884,1409,7728,494,649,545
1495,1620,2931,1050,1692,1042,1871,646,684,488
20996,5369,10749,5057,9413,12480,18387,11058,8338,5040
1,5,7,7,13,1,10,2,3,4
690,323,1629,562,779,788,1735,837,700,397
1621,1470,2750,1644,1660,1420,2142,768,849,693
1062,862,1338,1482,1174,919,1304,662,569,412
70,108,116,755,180,149,816,272,419,84
1059,960,3794,1224,1183,1719,4152,742,905,649
375,426,928,503,407,785,1403,365,314,314
2812,1111,2259,1784,1738,2576,2097,1519,931,1252
1235,1626,2752,1154,3043,2815,4638,1447,1637,1585
4851,7340,5747,3596,7329,2295,2810,1094,1120,736
483,2821,2702,2274,1251,1358,3142,862,1044,777
676,648,1283,596,580,664,1056,459,418,334
1530,974,1822,797,1295,1016,2013,781,735,1591
1329,1566,1682,997,1331,1902,3397,1577,1391,890
440,320,700,474,422,352,632,284,230,181
6600,502,9810,1537,2078,4036,8169,4040,6582,2677
147,207,665,1202,124,92,342,35,60,42
940,1372,1191,701,1403,1567,2362,719,705,695
6554,9953,10287,2632,11671,8195,17311,5235,6008,4902
148,337,156,170,413,86,228,47,40,82
10396,9583,17820,4448,16563,16149,27082,17346,12564,7609
1,0,1,1,1,1,0,2,0,0
2182,3597,3453,2721,3016,1904,4423,1490,1707,1326
1417,2332,4459,1457,2126,3149,5113,1241,1237,1508
1117,1684,2587,1045,1773,1018,1138,366,410,574
3,2,24,0,4,15,7,0,0,3
576,552,1496,532,1125,968,1630,663,662,284
2905,1202,3239,2264,5326,5017,10252,2936,3226,1581
1260,997,2388,1782,1706,1424,2461,892,914,700
9,7,41,1239,16,9,51,13,7,5
1041,870,3503,1510,5850,647,27,38,42,6
1225,1060,1870,1481,1828,1389,2487,1249,1078,785
1137,653,5329,777,1666,1501,2699,1231,1200,670
1288,1144,3031,669,1456,2657,3650,1326,1329,1126
4033,4006,7782,1418,10732,5525,2058,4267,1543,1615
2709,5247,4735,2081,3912,7072,11799,3236,3743,2163
1016,496,534,226,562,657,836,213,272,197
407,119,687,117,455,1026,1591,626,282,172
0,0,0,0,0,0,1,0,0,0
665,642,1349,1387,494,60,148,51,38,34
7593,9120,10722,18524,11647,7876,13463,7583,6159,2612
2447,3195,3480,944,2791,1568,2969,1175,1300,882
1026,314,1839,395,1113,1229,2085,934,653,401
1166,1960,2231,2033,1203,1611,3676,1306,1142,829
974,2971,3011,3096,1956,2328,4233,888,997,1069
1190,2511,5419,1771,2218,1753,4333,1846,1760,1120
6823,1031,3327,693,8802,1501,1498,370,276,704
1,0,3,1,0,3,6,6,4,2
2750,3113,5734,2626,4284,3637,8399,3245,2740,1978
457,464,1707,347,634,197,461,178,171,103
89,241,188,38,105,210,358,169,122,111
7537,7774,13382,4048,6273,6647,7157,4187,3873,2692
294,3143,60,100,169,54,1235,79,1091,46
12,8,30,3,4,13,20,4,2,4
1512,1269,3132,1723,1977,2584,3164,1477,1108,848
2536,2307,2729,2721,3077,3337,5697,3240,2761,1865
5653,4867,16366,9380,8992,4615,10469,2432,3861,4181
1463,1989,3010,1948,2727,2214,4064,2385,1943,1186
653,1080,1669,747,1017,1021,1270,516,562,484
0,5,10,2,1,21,17,3,12,10
11328,17918,10096,14319,14050,15399,19738,12084,9989,7109
29,25,87,103,115,122,791,128,122,49
513,1183,985,846,780,822,1498,428,350,332
471,1000,943,380,456,710,1019,314,317,277
25575,36588,62709,19620,23995,24880,29100,11636,12762,11026
566,885,806,708,505,547,888,247,289,304
1508,3418,5912,1509,2979,1606,1915,630,594,663
4675,8479,9678,5757,3326,5435,8092,2793,2921,2236
4454,7859,8361,4141,5366,7566,11394,2868,2972,2895
2098,2815,6916,1959,3170,3137,5392,2257,2051,1383
1,1,3,5,5,3,2,3,3,0
0,1,2,0,0,0,0,1,0,0
1212,1522,1573,911,2047,1084,1678,940,670,480
1362,1297,1888,956,2054,1753,3007,1147,1166,851
2317,1383,3703,2184,1203,2622,3991,1452,1160,841
235,395,721,536,341,438,597,244,193,238
1568,1708,6138,727,2185,2099,3865,1435,1611,1036
2515,1902,3313,1941,3085,2540,3996,1910,1612,1272
1573,1347,2863,1900,2415,1538,2796,996,876,830
4311,9471,6173,1587,6875,24273,41086,26300,17779,8057
879,796,944,451,896,650,954,390,387,386
3140,7705,8945,1787,3243,4300,4866,2521,2567,1983
248,145,640,11,407,66,64,47,9,25
87,152,226,51,65,172,1567,150,178,98
25,11,189,33,43,152,206,51,74,142
858,190,1684,1545,731,7127,4411,2007,2182,150
3,136,54,1,3,6,152,0,7,0
286,110,1286,132,480,826,1155,521,642,290
366,2718,1850,362,405,1031,3601,1134,1250,781
250,49,185,77,145,258,549,54,51,42
99,1017,376,833,251,824,1361,538,499,530
933,1388,1562,2002,1196,1002,1867,890,819,585
2858,4711,1671,4458,2405,4653,13011,6809,3964,2477
2706,1845,2706,1708,3147,3372,4468,1872,1966,1608
0,2,2,1,0,2,4,2,0,0
1033,1813,2281,854,1288,1338,1834,666,768,542
962,2269,2402,666,1203,1354,1551,581,688,421
804,1165,1287,713,653,570,855,178,225,234
9972,4744,17978,8684,7667,6203,8614,2936,2512,3111
1149,4327,3078,1542,1381,2028,5309,1215,1923,1032
3705,9507,2657,3550,1938,2135,3344,1853,1420,1030
684,432,1638,401,775,1343,2197,827,988,496
157,5758,505,2866,189,184,1758,150,206,32
10626,7965,12563,5837,14154,14311,17178,6990,7252,3883
893,3086,2134,2857,940,925,2775,669,699,447
87,87,160,83,135,266,1110,177,193,79
654,494,929,637,745,903,1470,644,472,320
2766,1641,2839,2662,2685,2523,5348,2355,1860,1442
335,82,485,168,434,682,830,751,529,634
119,1191,345,610,304,274,1899,342,160,51
4,3,5,2,5,2,14,3,14,4
720,354,793,117,538,1033,3869,592,897,399
3630,7914,4588,2739,4947,4051,4777,1441,1626,2027
346,538,748,794,723,498,1046,384,413,291
2059,3190,4590,1559,2430,2446,3588,1039,1103,1080
2428,531,1872,742,2158,6148,31284,8137,7766,1899
661,1186,2128,1095,786,912,1719,578,752,470
2097,3528,2832,1747,2599,6504,9969,6863,6413,2668
6199,8397,10959,6882,10143,7322,10835,4490,4561,3475
1129,2748,2785,1034,1098,1556,2824,961,1051,650
5151,5062,8459,1175,4286,9461,23732,5128,6930,2396
964,1884,3042,268,1082,692,1548,371,469,280
988,1689,1378,1722,1310,1444,2833,1276,1237,749
4345,2140,6117,2989,5314,3551,5656,2754,2452,2126
3889,5253,7698,11184,5185,5936,9717,5003,3816,2292
10517,16003,9452,4381,7505,3099,5633,2748,2547,1418
1351,944,1838,1277,1834,1240,1910,853,732,606
1431,2416,2522,1866,2205,2583,4965,2533,2050,1293
1300,2694,2706,694,1353,1544,1851,378,386,501
1952,1883,2480,2164,2311,4579,4023,1674,1382,1013
625,67,227,130,349,781,5082,514,583,170
12,0,6,0,14,27,18,19,15,3
232,315,177,180,125,52,23,18,12,19
1018,1007,1491,1268,1485,957,1132,499,448,464
7851,12813,7922,4964,12820,7109,14246,5844,5567,4722
0,0,2,2,0,1,3,0,0,0
835,138,1527,662,1602,2005,4209,1691,1691,1559
4778,4734,10112,4314,8583,5233,8147,3094,3001,2374
806,899,1327,529,1440,1060,1468,600,554,424
1927,1794,3548,1130,2279,1727,2469,1430,1352,952
860,1372,1515,915,759,858,1904,617,547,466
2677,2150,6732,2434,3999,2563,3769,1626,1703,1209
1956,2865,3998,2649,4122,4976,9171,4336,3071,2073
7925,1568,7629,2540,6230,13713,19011,13653,8048,2708
2062,2238,4889,5227,3176,1970,3352,1474,1386,1127
1129,1437,2119,1242,1581,1581,2606,1423,1187,843
646,840,795,826,459,393,412,189,147,181
1,0,11,52,1,6,8,5,4,5
4113,3506,3787,5544,4882,5037,10301,5341,4316,2596
1238,430,1423,1524,1061,1040,1802,929,805,805
13528,886,4601,48,2333,159,166,56,55,173
146,1064,210,668,117,399,1128,323,514,316
124,636,371,258,220,110,433,112,133,85
104,28,408,290,303,552,584,519,596,348
1075,3880,3615,2214,1394,5113,4932,1838,1486,1018
506,929,1208,693,647,1737,3054,1104,916,658
8348,4938,12037,4082,6642,8869,16617,6378,5897,3094
914,389,1110,5545,1394,1298,1284,1023,853,737
2232,580,2669,945,2186,3190,4886,2212,1712,1887
2181,3570,3394,2510,2956,2487,5261,1892,1951,1328
2445,1782,3898,2829,2168,683,888,636,441,840
978,1483,1313,383,1028,669,894,458,390,458
1448,990,2311,700,1866,2387,3571,1802,1364,1008
14991,9677,22913,14400,17661,18563,21663,11845,8987,8491
2342,1641,2577,1190,2256,3006,3505,1753,1248,1198
2742,3064,9387,3767,4249,5959,10348,5228,5647,3708
8,167,8,50,5,2,6,1,2,0
3202,3556,4716,1905,3202,3116,4956,1898,2017,1472
1918,949,2091,452,1710,5404,10677,3005,3239,1226
1690,2370,1688,1917,2804,3031,4100,2491,2067,1257
1681,3417,2139,2513,2783,2835,4174,1549,1470,1215
537,647,1021,648,847,1001,1776,602,725,568
1438,1775,3665,1846,3023,2280,3526,1357,1338,1000
103,115,124,45,122,117,1276,84,120,72
18,30,16,10,15,10,67,7,7,4
26,267,499,411,661,24,485,18,45,7
268,841,357,646,422,105,89,38,36,51
1963,311,2550,1607,1945,1939,1658,1209,507,1765
4728,2859,7819,4223,5274,5654,5707,2606,2734,2013
2781,747,6166,1147,3347,5870,4552,2408,1486,3643
655,778,921,359,420,334,513,181,172,151
55,9,51,25,50,48,117,19,27,14
607,16,1034,86,3258,61697,58272,45842,44751,29009
1061,784,1567,1259,1287,1122,2104,1123,840,679
595,651,1224,603,765,1103,2693,1018,899,621
3466,2468,4124,2510,2595,2427,3901,1952,1893,1180
420,904,2576,905,1067,2960,5354,4558,4786,3009
686,340,1041,655,640,578,1146,632,517,333
671,1029,1718,688,884,1204,1832,839,904,629
594,173,1029,415,633,2081,5586,1810,1680,477
230,401,635,273,308,355,810,339,386,257
2325,1339,5616,1468,3470,2825,4824,2946,2108,1400
710,685,960,598,718,698,1023,436,357,293
191,64,457,89,220,744,1210,418,180,213
1199,1917,1549,915,1719,2052,4634,1987,1835,1077
2365,2802,3611,3217,2836,2952,5353,2717,2395,1638
3,0,0,0,0,2,7,3,2,3
367,1095,473,502,416,476,833,348,267,219
1461,1321,1816,1279,882,646,1292,626,555,366
74,173,131,317,398,81,414,64,64,66
1153,1261,1691,2016,1698,1530,1991,1024,821,676
1007,882,1110,1060,2223,2315,4631,3215,2949,1414
1,2949,9,0,2,3,1,1,3,0
6004,10095,6620,2028,4132,1910,2096,923,657,1199
2282,1382,4239,1712,1485,2054,5930,3522,5250,2141
3004,1743,7345,3083,5855,5172,10250,4547,4238,2668
13911,3583,10471,2435,10298,16040,66297,19802,39968,28221
1299,535,1476,3315,1079,1629,1410,1304,800,337
1643,6233,2266,2534,3138,4578,8372,4098,3611,1711
